,Airfield,Flight_ID,Sch_Departure,Act_Departure,Time_of_Day,Period_of_Week,Day_of_Week,Month,Season,Year,tot_pass,N,min,mean,median,max,mean_WTL,mean_City_Flag,mode_BFO_Dest_City,sum_city_mode,N_of_Dest_City,mode_BFO_Dest_Country_Code,sum_country_mode,N_of_Dest_Country,Delay_in_Seconds
1,AUC,18095,2028/9/1 8:06,2028/9/1 8:06,2 - MORNING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,55,19,2,6.157894737,7,10,0,0,BORQUE,55,1,BOR,55,1,0
2,AUC,18096,2028/9/1 8:13,2028/9/1 8:13,2 - MORNING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,38,22,2,6.636363636,6,11,0,0,VES033,38,1,VES,38,1,0
3,AUC,18097,2028/9/1 8:46,2028/9/1 8:46,2 - MORNING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,32,26,2,4.384615385,4,11,0,0,BORQUE,32,1,BOR,32,1,0
4,AUC,18098,2028/9/1 9:06,2028/9/1 9:06,2 - MORNING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,21,20,4,5.55,5.5,8,0,0,VES064,21,1,VES,21,1,0
5,AUC,18099,2028/9/1 9:36,2028/9/1 9:36,2 - MORNING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,57,47,1,6.978723404,7,14,0,0,BORCWL,50,2,BOR,57,1,0
6,AUC,18100,2028/9/1 9:55,2028/9/1 9:55,2 - MORNING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,44,35,2,6.171428571,5,13,0,0,BORQUE,44,1,BOR,44,1,0
7,AUC,18101,2028/9/1 10:06,2028/9/1 10:06,2 - MORNING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,16,6,2,5.166666667,5,9,0,0,NEN003,16,1,NEN,16,1,0
8,AUC,18102,2028/9/1 10:16,2028/9/1 11:04,2 - MORNING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,35,23,1,3.956521739,3,13,0,0,BORCWL,35,1,BOR,35,1,2880
9,AUC,18103,2028/9/1 12:04,2028/9/1 12:04,3 - AFTERNOON,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,38,36,1,2.277777778,2,4,0,0,BORQUE,38,1,BOR,38,1,0
10,AUC,18104,2028/9/1 13:41,2028/9/1 13:41,3 - AFTERNOON,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,24,21,1,2.428571429,2,5,0,0,VES064,24,1,VES,24,1,0
11,AUC,18105,2028/9/1 14:36,2028/9/1 14:36,3 - AFTERNOON,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,23,23,1,3.565217391,3,6,0,0,BORQUE,23,1,BOR,23,1,0
12,AUC,18106,2028/9/1 14:38,2028/9/1 17:51,4 - EVENING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,38,35,1,3.057142857,3,7,0,0,BORQUE,38,1,BOR,38,1,11580
13,AUC,18107,2028/9/1 15:06,2028/9/1 15:06,3 - AFTERNOON,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,36,30,1,3.066666667,3,8,0,0,BORQUE,36,1,BOR,36,1,0
14,AUC,18108,2028/9/1 15:51,2028/9/1 15:51,3 - AFTERNOON,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,43,40,1,5.325,5,13,0,0,BORCWL,43,1,BOR,43,1,0
15,AUC,18109,2028/9/1 16:06,2028/9/1 16:06,3 - AFTERNOON,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,30,30,3,6.033333333,6,14,0,0,BORCWL,30,1,BOR,30,1,0
16,AUC,18110,2028/9/1 16:30,2028/9/1 16:30,3 - AFTERNOON,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,50,46,1,4.956521739,4,11,0,0,BORQUE,50,1,BOR,50,1,0
17,AUC,18111,2028/9/1 17:12,2028/9/1 17:12,3 - AFTERNOON,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,46,42,1,4.166666667,3,12,0,0,VES033,46,1,VES,46,1,0
18,AUC,18112,2028/9/1 19:11,2028/9/1 19:11,4 - EVENING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,8,4,1,2.5,2,5,0,0,BORQUE,8,1,BOR,8,1,0
19,AUC,18113,2028/9/1 20:26,2028/9/1 20:36,4 - EVENING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,5,1,1,1,1,1,0,0,BORQUE,5,1,BOR,5,1,600
20,AUC,18114,2028/9/1 21:39,2028/9/1 21:39,4 - EVENING,1 - WEEKDAY,5 - FRI,9-Sep,3 - SUMMER,2028,6,2,2,2,2,2,0,0,BORQUE,6,1,BOR,6,1,0
21,AUC,18115,2028/9/2 8:06,2028/9/2 8:06,2 - MORNING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,23,23,2,3.956521739,4,6,0,0,BORQUE,23,1,BOR,23,1,0
22,AUC,18116,2028/9/2 8:06,2028/9/2 10:36,2 - MORNING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,11,11,2,4.363636364,3,9,0,0,BORQUE,11,1,BOR,11,1,9000
23,AUC,18117,2028/9/2 8:13,2028/9/2 8:13,2 - MORNING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,42,42,1,4.238095238,4,8,0,0,VES033,42,1,VES,42,1,0
24,AUC,18118,2028/9/2 8:46,2028/9/2 8:46,2 - MORNING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,28,26,1,4.423076923,4,10,0,0,BORQUE,28,1,BOR,28,1,0
25,AUC,18119,2028/9/2 9:36,2028/9/2 9:36,2 - MORNING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,46,45,1,5.333333333,4,11,0,0,BORCWL,46,1,BOR,46,1,0
26,AUC,18120,2028/9/2 9:59,2028/9/2 9:59,2 - MORNING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,45,43,1,5.069767442,4,9,0,0,BORQUE,45,1,BOR,45,1,0
27,AUC,18121,2028/9/2 10:16,2028/9/2 10:16,2 - MORNING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,26,25,1,2.92,3,8,0,0,BORCWL,26,1,BOR,26,1,0
28,AUC,18122,2028/9/2 12:06,2028/9/2 12:06,3 - AFTERNOON,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,30,22,1,3.090909091,3,9,0,0,BORQUE,30,1,BOR,30,1,0
29,AUC,18123,2028/9/2 12:16,2028/9/2 12:16,3 - AFTERNOON,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,1,0,NA,NA,NA,NA,0,0,BOR030,1,1,BOR,1,1,0
30,AUC,18124,2028/9/2 13:41,2028/9/2 13:41,3 - AFTERNOON,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,26,21,1,2.952380952,2,12,0,0,VES064,26,1,VES,26,1,0
31,AUC,18125,2028/9/2 14:36,2028/9/2 14:36,3 - AFTERNOON,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,20,18,1,2.666666667,2,5,0,0,BORQUE,20,1,BOR,20,1,0
32,AUC,18126,2028/9/2 14:42,2028/9/2 18:58,4 - EVENING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,43,39,2,5.230769231,4,13,0,0,BORQUE,43,1,BOR,43,1,15360
33,AUC,18127,2028/9/2 15:06,2028/9/2 15:06,3 - AFTERNOON,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,29,26,2,3.038461538,3,5,0,0,BORQUE,29,1,BOR,29,1,0
34,AUC,18128,2028/9/2 15:51,2028/9/2 15:51,3 - AFTERNOON,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,35,30,1,3.366666667,2.5,12,0,0,BORCWL,35,1,BOR,35,1,0
35,AUC,18129,2028/9/2 16:06,2028/9/2 16:06,3 - AFTERNOON,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,25,18,2,3.333333333,3,7,0,0,BORCWL,25,1,BOR,25,1,0
36,AUC,18130,2028/9/2 16:32,2028/9/2 16:32,3 - AFTERNOON,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,45,41,1,3.268292683,3,7,0,0,BORQUE,45,1,BOR,45,1,0
37,AUC,18131,2028/9/2 17:11,2028/9/2 17:11,3 - AFTERNOON,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,42,34,1,3.088235294,3,6,0,0,VES033,42,1,VES,42,1,0
38,AUC,18132,2028/9/2 18:21,2028/9/2 18:21,4 - EVENING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,20,4,2,3.25,3.5,4,0,0,NEN003,20,1,NEN,20,1,0
39,AUC,18133,2028/9/2 19:11,2028/9/2 19:11,4 - EVENING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,6,1,1,1,1,1,0,0,BORQUE,6,1,BOR,6,1,0
40,AUC,18134,2028/9/2 19:40,2028/9/2 21:07,4 - EVENING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,19,0,NA,NA,NA,NA,0,0,VES033,19,1,VES,19,1,5220
41,AUC,18135,2028/9/2 20:01,2028/9/2 20:01,4 - EVENING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,14,0,NA,NA,NA,NA,0,0,BORCWL,14,1,BOR,14,1,0
42,AUC,18136,2028/9/2 20:06,2028/9/2 20:06,4 - EVENING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,22,0,NA,NA,NA,NA,0,0,VES064,22,1,VES,22,1,0
43,AUC,18137,2028/9/2 20:26,2028/9/2 20:26,4 - EVENING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,18,0,NA,NA,NA,NA,0,0,BORQUE,18,1,BOR,18,1,0
44,AUC,18138,2028/9/2 21:41,2028/9/2 21:41,4 - EVENING,2 - WEEKEND,6 - SAT,9-Sep,3 - SUMMER,2028,10,0,NA,NA,NA,NA,0,0,BORQUE,9,2,BOR,9,2,0
45,AUC,18139,2028/9/3 8:06,2028/9/3 8:06,2 - MORNING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,32,32,1,4.59375,4,9,0,0,BORQUE,32,1,BOR,32,1,0
46,AUC,18140,2028/9/3 8:13,2028/9/3 8:13,2 - MORNING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,39,35,2,5.857142857,6,11,0,0,VES033,39,1,VES,39,1,0
47,AUC,18141,2028/9/3 8:36,2028/9/3 8:36,2 - MORNING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,10,10,2,5.1,3,11,0,0,BORCWL,10,1,BOR,10,1,0
48,AUC,18142,2028/9/3 8:46,2028/9/3 8:46,2 - MORNING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,25,25,1,3.4,2,10,0,0,BORQUE,25,1,BOR,25,1,0
49,AUC,18143,2028/9/3 9:06,2028/9/3 9:06,2 - MORNING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,12,12,1,3.75,3,11,0,0,VES064,12,1,VES,12,1,0
50,AUC,18144,2028/9/3 9:36,2028/9/3 9:36,2 - MORNING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,33,33,1,3.060606061,2,9,0,0,BORCWL,30,2,BOR,33,1,0
51,AUC,18145,2028/9/3 10:06,2028/9/3 10:06,2 - MORNING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,1,1,2,2,2,2,0,0,NEN003,1,1,NEN,1,1,0
52,AUC,18146,2028/9/3 12:06,2028/9/3 12:06,3 - AFTERNOON,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,43,38,1,2.447368421,2,4,0,0,BORQUE,43,1,BOR,43,1,0
53,AUC,18147,2028/9/3 13:07,2028/9/3 13:07,3 - AFTERNOON,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,34,32,1,3.6875,3,9,0,0,VES033,33,2,VES,33,2,0
54,AUC,18148,2028/9/3 13:34,2028/9/3 13:34,3 - AFTERNOON,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,42,38,1,5.052631579,5,10,0,0,BORCWL,42,1,BOR,42,1,0
55,AUC,18149,2028/9/3 13:41,2028/9/3 13:56,3 - AFTERNOON,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,18,18,2,4.611111111,4,9,0,0,VES064,18,1,VES,18,1,900
56,AUC,18150,2028/9/3 14:26,2028/9/3 14:26,3 - AFTERNOON,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,42,35,2,6.8,7,13,0,0,BORCWL,42,1,BOR,42,1,0
57,AUC,18151,2028/9/3 14:36,2028/9/3 14:36,3 - AFTERNOON,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,39,38,2,7.052631579,6.5,13,0,0,BORQUE,39,1,BOR,39,1,0
58,AUC,18152,2028/9/3 14:45,2028/9/3 14:45,3 - AFTERNOON,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,44,44,2,5.409090909,5,12,0,0,BORQUE,44,1,BOR,44,1,0
59,AUC,18153,2028/9/3 15:06,2028/9/3 15:06,3 - AFTERNOON,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,24,24,2,6.375,6.5,13,0,0,BORQUE,24,1,BOR,24,1,0
60,AUC,18154,2028/9/3 15:51,2028/9/3 15:51,3 - AFTERNOON,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,44,43,1,4.255813953,3,11,0,0,BORCWL,44,1,BOR,44,1,0
61,AUC,18155,2028/9/3 16:30,2028/9/3 16:53,3 - AFTERNOON,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,51,50,1,4.64,3,11,0,0,BORQUE,51,1,BOR,51,1,1380
62,AUC,18156,2028/9/3 17:12,2028/9/3 17:12,3 - AFTERNOON,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,38,37,1,3.918918919,3,9,0,0,VES033,38,1,VES,38,1,0
63,AUC,18157,2028/9/3 18:21,2028/9/3 18:21,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,17,17,1,3.470588235,3,7,0,0,NEN003,17,1,NEN,17,1,0
64,AUC,18158,2028/9/3 18:42,2028/9/3 18:42,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,30,29,1,2.655172414,2,6,0,0,BORQUE,30,1,BOR,30,1,0
65,AUC,18159,2028/9/3 19:05,2028/9/3 19:26,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,40,35,1,3.714285714,3,9,0,0,BORCWL,40,1,BOR,40,1,1260
66,AUC,18160,2028/9/3 19:11,2028/9/3 19:11,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,13,12,1,5.083333333,4.5,9,0,0,BORQUE,13,1,BOR,13,1,0
67,AUC,18161,2028/9/3 19:20,2028/9/3 19:20,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,44,43,1,5.139534884,4,12,0,0,BORCWL,44,1,BOR,44,1,0
68,AUC,18162,2028/9/3 19:21,2028/9/3 21:06,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,25,21,2,4.523809524,4,10,0,0,BORQUE,25,1,BOR,25,1,6300
69,AUC,18163,2028/9/3 19:45,2028/9/3 19:45,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,36,30,1,6,5,27,0,0,VES033,36,1,VES,36,1,0
70,AUC,18164,2028/9/3 20:01,2028/9/3 20:01,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,37,33,1,6.787878788,7,14,0,0,BORCWL,37,1,BOR,37,1,0
71,AUC,18165,2028/9/3 20:06,2028/9/3 21:21,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,18,17,1,3.764705882,3,10,0,0,VES064,18,1,VES,18,1,4500
72,AUC,18166,2028/9/3 20:26,2028/9/3 20:26,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,35,33,2,5.878787879,6,11,0,0,BORQUE,35,1,BOR,35,1,0
73,AUC,18167,2028/9/3 21:10,2028/9/3 22:51,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,6,5,2,2.2,2,3,0,0,BORQUE,6,1,BOR,6,1,6060
74,AUC,18168,2028/9/3 21:41,2028/9/3 21:41,4 - EVENING,2 - WEEKEND,7 - SUN,9-Sep,3 - SUMMER,2028,39,35,1,3.057142857,3,7,0,0,BORQUE,39,1,BOR,39,1,0
75,AUC,18169,2028/9/4 8:06,2028/9/4 8:06,2 - MORNING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,45,36,3,9.666666667,11,14,0,0,BORQUE,45,1,BOR,45,1,0
76,AUC,18170,2028/9/4 8:13,2028/9/4 8:13,2 - MORNING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,26,20,6,8.3,8,14,0,0,VES033,26,1,VES,26,1,0
77,AUC,18171,2028/9/4 8:21,2028/9/4 8:21,2 - MORNING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,9,9,7,10,11,12,0,0,BORCWL,9,1,BOR,9,1,0
78,AUC,18172,2028/9/4 8:24,2028/9/4 8:24,2 - MORNING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,29,25,2,7.52,9,12,0,0,BORQUE,29,1,BOR,29,1,0
79,AUC,18173,2028/9/4 8:36,2028/9/4 8:36,2 - MORNING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,29,26,2,5.730769231,4.5,12,0,0,BORCWL,29,1,BOR,29,1,0
80,AUC,18174,2028/9/4 8:46,2028/9/4 8:46,2 - MORNING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,29,25,1,6.08,5,12,0,0,BORQUE,29,1,BOR,29,1,0
81,AUC,18175,2028/9/4 9:06,2028/9/4 9:06,2 - MORNING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,17,17,2,4.705882353,5,8,0,0,VES064,17,1,VES,17,1,0
82,AUC,18176,2028/9/4 9:31,2028/9/4 9:31,2 - MORNING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,12,12,1,2.583333333,2.5,5,0,0,BORQUE,12,1,BOR,12,1,0
83,AUC,18177,2028/9/4 9:36,2028/9/4 9:36,2 - MORNING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,22,22,2,3.181818182,3,5,0,0,BORCWL,22,1,BOR,22,1,0
84,AUC,18178,2028/9/4 10:06,2028/9/4 10:06,2 - MORNING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,7,7,1,2.285714286,2,4,0,0,NEN003,7,1,NEN,7,1,0
85,AUC,18179,2028/9/4 10:16,2028/9/4 10:16,2 - MORNING,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,22,22,1,2.545454545,3,5,0,0,BORCWL,22,1,BOR,22,1,0
86,AUC,18180,2028/9/4 12:01,2028/9/4 12:01,3 - AFTERNOON,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,41,39,1,2.897435897,3,5,0,0,BORQUE,41,1,BOR,41,1,0
87,AUC,18181,2028/9/4 12:06,2028/9/4 12:26,3 - AFTERNOON,1 - WEEKDAY,1 - MON,9-Sep,3 - SUMMER,2028,41,38,1,2.947368421,3,5,0,0,BORQUE,39,2,BOR,39,2,1200
